numTypes 3
population 1200
min distances 32.000000, radiuses 141.000000, forces -0.999916
Particle 721, at 564.000000, 891.000000
Particle 722, at 533.000000, 112.000000
Particle 723, at 684.000000, 947.000000
Particle 724, at 551.000000, 639.000000
Particle 725, at 784.000000, 727.000000
Particle 726, at 244.000000, 675.000000
Particle 727, at 39.000000, 180.000000
Particle 728, at 430.000000, 771.000000
Particle 729, at 338.000000, 746.000000
Particle 730, at 556.000000, 741.000000
Particle 731, at 372.000000, 892.000000
Particle 732, at 427.000000, 79.000000
Particle 733, at 749.000000, 580.000000
Particle 734, at 260.000000, 478.000000
Particle 735, at 716.000000, 39.000000
Particle 736, at 14.000000, 881.000000
Particle 737, at 444.000000, 345.000000
Particle 738, at 512.000000, 635.000000
Particle 739, at 581.000000, 545.000000
Particle 740, at 66.000000, 364.000000
Particle 741, at 575.000000, 677.000000
Particle 742, at 488.000000, 71.000000
Particle 743, at 183.000000, 352.000000
Particle 744, at 277.000000, 715.000000
Particle 745, at 744.000000, 884.000000
Particle 746, at 670.000000, 642.000000
Particle 747, at 672.000000, 519.000000
Particle 748, at 364.000000, 784.000000
Particle 749, at 736.000000, 912.000000
Particle 750, at 28.000000, 57.000000
Particle 751, at 424.000000, 453.000000
Particle 752, at 723.000000, 997.000000
Particle 753, at 659.000000, 821.000000
Particle 754, at 530.000000, 446.000000
Particle 755, at 730.000000, 422.000000
Particle 756, at 267.000000, 88.000000
Particle 757, at 390.000000, 479.000000
Particle 758, at 765.000000, 9.000000
Particle 759, at 261.000000, 30.000000
Particle 760, at 314.000000, 708.000000
Particle 761, at 756.000000, 497.000000
Particle 762, at 473.000000, 876.000000
Particle 763, at 798.000000, 804.000000
Particle 764, at 320.000000, 213.000000
Particle 765, at 458.000000, 250.000000
Particle 766, at 67.000000, 247.000000
Particle 767, at 247.000000, 832.000000
Particle 768, at 546.000000, 468.000000
Particle 769, at 770.000000, 609.000000
Particle 770, at 643.000000, 333.000000
Particle 771, at 358.000000, 516.000000
Particle 772, at 732.000000, 123.000000
Particle 773, at 5.000000, 965.000000
Particle 774, at 708.000000, 274.000000
Particle 775, at 399.000000, 228.000000
Particle 776, at 657.000000, 526.000000
Particle 777, at 333.000000, 413.000000
Particle 778, at 348.000000, 979.000000
Particle 779, at 321.000000, 228.000000
Particle 780, at 707.000000, 562.000000
Particle 781, at 711.000000, 667.000000
Particle 782, at 547.000000, 629.000000
Particle 783, at 629.000000, 54.000000
Particle 784, at 611.000000, 397.000000
Particle 785, at 754.000000, 258.000000
Particle 786, at 704.000000, 993.000000
Particle 787, at 595.000000, 278.000000
Particle 788, at 336.000000, 344.000000
Particle 789, at 773.000000, 667.000000
Particle 790, at 624.000000, 71.000000
Particle 791, at 564.000000, 649.000000
Particle 792, at 378.000000, 287.000000
Particle 793, at 445.000000, 990.000000
Particle 794, at 3.000000, 130.000000
Particle 795, at 717.000000, 332.000000
Particle 796, at 727.000000, 260.000000
Particle 797, at 620.000000, 715.000000
Particle 798, at 23.000000, 672.000000
Particle 799, at 85.000000, 682.000000
Particle 800, at 707.000000, 845.000000
Particle 801, at 465.000000, 939.000000
Particle 802, at 308.000000, 248.000000
Particle 803, at 304.000000, 281.000000
Particle 804, at 681.000000, 646.000000
Particle 805, at 225.000000, 607.000000
Particle 806, at 660.000000, 763.000000
Particle 807, at 372.000000, 180.000000
Particle 808, at 602.000000, 353.000000
Particle 809, at 214.000000, 67.000000
Particle 810, at 161.000000, 909.000000
Particle 811, at 378.000000, 124.000000
Particle 812, at 222.000000, 430.000000
Particle 813, at 439.000000, 632.000000
Particle 814, at 387.000000, 426.000000
Particle 815, at 8.000000, 428.000000
Particle 816, at 512.000000, 877.000000
Particle 817, at 662.000000, 311.000000
Particle 818, at 741.000000, 961.000000
Particle 819, at 101.000000, 231.000000
Particle 820, at 91.000000, 671.000000
Particle 821, at 622.000000, 754.000000
Particle 822, at 708.000000, 836.000000
Particle 823, at 169.000000, 628.000000
Particle 824, at 0.000000, 89.000000
Particle 825, at 59.000000, 976.000000
Particle 826, at 481.000000, 302.000000
Particle 827, at 162.000000, 185.000000
Particle 828, at 486.000000, 700.000000
Particle 829, at 315.000000, 424.000000
Particle 830, at 733.000000, 407.000000
Particle 831, at 231.000000, 969.000000
Particle 832, at 433.000000, 267.000000
Particle 833, at 143.000000, 51.000000
Particle 834, at 247.000000, 412.000000
Particle 835, at 98.000000, 868.000000
Particle 836, at 794.000000, 728.000000
Particle 837, at 657.000000, 880.000000
Particle 838, at 419.000000, 423.000000
Particle 839, at 509.000000, 354.000000
Particle 840, at 479.000000, 408.000000
Particle 841, at 139.000000, 102.000000
Particle 842, at 8.000000, 471.000000
Particle 843, at 365.000000, 48.000000
Particle 844, at 251.000000, 321.000000
Particle 845, at 345.000000, 927.000000
Particle 846, at 115.000000, 873.000000
Particle 847, at 103.000000, 121.000000
Particle 848, at 280.000000, 561.000000
Particle 849, at 291.000000, 947.000000
Particle 850, at 356.000000, 154.000000
Particle 851, at 639.000000, 54.000000
Particle 852, at 647.000000, 57.000000
Particle 853, at 706.000000, 923.000000
Particle 854, at 767.000000, 987.000000
Particle 855, at 766.000000, 731.000000
Particle 856, at 583.000000, 809.000000
Particle 857, at 703.000000, 947.000000
Particle 858, at 419.000000, 104.000000
Particle 859, at 151.000000, 198.000000
Particle 860, at 13.000000, 889.000000
Particle 861, at 721.000000, 819.000000
Particle 862, at 154.000000, 686.000000
Particle 863, at 598.000000, 408.000000
Particle 864, at 579.000000, 355.000000
Particle 865, at 315.000000, 654.000000
Particle 866, at 60.000000, 8.000000
Particle 867, at 628.000000, 18.000000
Particle 868, at 546.000000, 59.000000
Particle 869, at 519.000000, 393.000000
Particle 870, at 167.000000, 760.000000
Particle 871, at 574.000000, 272.000000
Particle 872, at 103.000000, 682.000000
Particle 873, at 786.000000, 412.000000
Particle 874, at 644.000000, 31.000000
Particle 875, at 303.000000, 598.000000
Particle 876, at 292.000000, 54.000000
Particle 877, at 250.000000, 700.000000
Particle 878, at 80.000000, 326.000000
Particle 879, at 67.000000, 148.000000
Particle 880, at 667.000000, 994.000000
Particle 881, at 368.000000, 336.000000
Particle 882, at 11.000000, 859.000000
Particle 883, at 303.000000, 704.000000
Particle 884, at 760.000000, 335.000000
Particle 885, at 394.000000, 251.000000
Particle 886, at 714.000000, 116.000000
Particle 887, at 313.000000, 929.000000
Particle 888, at 262.000000, 786.000000
Particle 889, at 638.000000, 496.000000
Particle 890, at 84.000000, 651.000000
Particle 891, at 304.000000, 601.000000
Particle 892, at 236.000000, 573.000000
Particle 893, at 783.000000, 440.000000
Particle 894, at 666.000000, 399.000000
Particle 895, at 104.000000, 78.000000
Particle 896, at 587.000000, 800.000000
Particle 897, at 188.000000, 23.000000
Particle 898, at 753.000000, 297.000000
Particle 899, at 675.000000, 350.000000
Particle 900, at 609.000000, 844.000000
Particle 901, at 488.000000, 438.000000
Particle 902, at 41.000000, 296.000000
Particle 903, at 289.000000, 926.000000
Particle 904, at 488.000000, 516.000000
Particle 905, at 718.000000, 214.000000
Particle 906, at 205.000000, 934.000000
Particle 907, at 620.000000, 46.000000
Particle 908, at 550.000000, 836.000000
Particle 909, at 300.000000, 817.000000
Particle 910, at 5.000000, 527.000000
Particle 911, at 406.000000, 360.000000
Particle 912, at 399.000000, 801.000000
Particle 913, at 213.000000, 500.000000
Particle 914, at 669.000000, 676.000000
Particle 915, at 639.000000, 623.000000
Particle 916, at 251.000000, 370.000000
Particle 917, at 31.000000, 588.000000
Particle 918, at 312.000000, 598.000000
Particle 919, at 622.000000, 430.000000
Particle 920, at 409.000000, 374.000000
Particle 921, at 378.000000, 457.000000
Particle 922, at 525.000000, 265.000000
Particle 923, at 408.000000, 584.000000
Particle 924, at 119.000000, 482.000000
Particle 925, at 422.000000, 113.000000
Particle 926, at 749.000000, 971.000000
Particle 927, at 293.000000, 516.000000
Particle 928, at 487.000000, 331.000000
Particle 929, at 542.000000, 367.000000
Particle 930, at 152.000000, 389.000000
Particle 931, at 551.000000, 863.000000
Particle 932, at 407.000000, 137.000000
Particle 933, at 165.000000, 203.000000
Particle 934, at 695.000000, 535.000000
Particle 935, at 337.000000, 253.000000
Particle 936, at 726.000000, 433.000000
Particle 937, at 117.000000, 331.000000
Particle 938, at 95.000000, 910.000000
Particle 939, at 616.000000, 986.000000
Particle 940, at 527.000000, 664.000000
Particle 941, at 200.000000, 189.000000
Particle 942, at 633.000000, 138.000000
Particle 943, at 740.000000, 536.000000
Particle 944, at 359.000000, 774.000000
Particle 945, at 397.000000, 714.000000
Particle 946, at 707.000000, 484.000000
Particle 947, at 694.000000, 153.000000
Particle 948, at 85.000000, 145.000000
Particle 949, at 683.000000, 376.000000
Particle 950, at 262.000000, 400.000000
Particle 951, at 459.000000, 382.000000
Particle 952, at 147.000000, 83.000000
Particle 953, at 63.000000, 868.000000
Particle 954, at 613.000000, 808.000000
Particle 955, at 49.000000, 0.000000
Particle 956, at 405.000000, 289.000000
Particle 957, at 163.000000, 522.000000
Particle 958, at 673.000000, 827.000000
Particle 959, at 552.000000, 273.000000
Particle 960, at 453.000000, 719.000000
Particle 961, at 357.000000, 644.000000
Particle 962, at 537.000000, 485.000000
Particle 963, at 779.000000, 530.000000
Particle 964, at 213.000000, 74.000000
Particle 965, at 168.000000, 121.000000
Particle 966, at 669.000000, 350.000000
Particle 967, at 141.000000, 730.000000
Particle 968, at 669.000000, 796.000000
Particle 969, at 36.000000, 800.000000
Particle 970, at 55.000000, 650.000000
Particle 971, at 744.000000, 154.000000
Particle 972, at 306.000000, 196.000000
Particle 973, at 757.000000, 125.000000
Particle 974, at 282.000000, 938.000000
Particle 975, at 64.000000, 609.000000
Particle 976, at 199.000000, 805.000000
Particle 977, at 161.000000, 893.000000
Particle 978, at 516.000000, 865.000000
Particle 979, at 384.000000, 1.000000
Particle 980, at 513.000000, 604.000000
Particle 981, at 627.000000, 338.000000
Particle 982, at 647.000000, 94.000000
Particle 983, at 447.000000, 155.000000
Particle 984, at 645.000000, 895.000000
Particle 985, at 576.000000, 366.000000
Particle 986, at 268.000000, 798.000000
Particle 987, at 128.000000, 147.000000
Particle 988, at 530.000000, 187.000000
Particle 989, at 363.000000, 659.000000
Particle 990, at 727.000000, 109.000000
Particle 991, at 477.000000, 534.000000
Particle 992, at 626.000000, 470.000000
Particle 993, at 220.000000, 888.000000
Particle 994, at 159.000000, 2.000000
Particle 995, at 442.000000, 274.000000
Particle 996, at 137.000000, 137.000000
Particle 997, at 473.000000, 185.000000
Particle 998, at 107.000000, 881.000000
Particle 999, at 554.000000, 658.000000
Particle 1000, at 321.000000, 38.000000
Particle 1001, at 664.000000, 458.000000
Particle 1002, at 708.000000, 336.000000
Particle 1003, at 251.000000, 909.000000
Particle 1004, at 187.000000, 717.000000
Particle 1005, at 105.000000, 788.000000
Particle 1006, at 125.000000, 60.000000
Particle 1007, at 273.000000, 843.000000
Particle 1008, at 65.000000, 666.000000
Particle 1009, at 642.000000, 786.000000
Particle 1010, at 595.000000, 2.000000
Particle 1011, at 545.000000, 406.000000
Particle 1012, at 209.000000, 699.000000
Particle 1013, at 123.000000, 474.000000
Particle 1014, at 375.000000, 22.000000
Particle 1015, at 352.000000, 653.000000
Particle 1016, at 270.000000, 513.000000
Particle 1017, at 182.000000, 813.000000
Particle 1018, at 0.000000, 955.000000
Particle 1019, at 0.000000, 312.000000
Particle 1020, at 747.000000, 86.000000
Particle 1021, at 321.000000, 151.000000
Particle 1022, at 624.000000, 513.000000
Particle 1023, at 131.000000, 874.000000
Particle 1024, at 776.000000, 526.000000
Particle 1025, at 12.000000, 343.000000
Particle 1026, at 325.000000, 230.000000
Particle 1027, at 17.000000, 467.000000
Particle 1028, at 286.000000, 90.000000
Particle 1029, at 414.000000, 445.000000
Particle 1030, at 382.000000, 440.000000
Particle 1031, at 229.000000, 344.000000
Particle 1032, at 696.000000, 124.000000
Particle 1033, at 659.000000, 673.000000
Particle 1034, at 581.000000, 458.000000
Particle 1035, at 292.000000, 897.000000
Particle 1036, at 246.000000, 355.000000
Particle 1037, at 113.000000, 623.000000
Particle 1038, at 136.000000, 680.000000
Particle 1039, at 614.000000, 272.000000
Particle 1040, at 72.000000, 853.000000
Particle 1041, at 321.000000, 92.000000
Particle 1042, at 379.000000, 294.000000
Particle 1043, at 142.000000, 933.000000
Particle 1044, at 239.000000, 449.000000
Particle 1045, at 703.000000, 377.000000
Particle 1046, at 507.000000, 89.000000
Particle 1047, at 568.000000, 392.000000
Particle 1048, at 538.000000, 260.000000
Particle 1049, at 45.000000, 867.000000
Particle 1050, at 220.000000, 996.000000
Particle 1051, at 136.000000, 712.000000
Particle 1052, at 261.000000, 887.000000
Particle 1053, at 793.000000, 79.000000
Particle 1054, at 209.000000, 991.000000
Particle 1055, at 684.000000, 138.000000
Particle 1056, at 166.000000, 808.000000
Particle 1057, at 224.000000, 690.000000
Particle 1058, at 8.000000, 298.000000
Particle 1059, at 38.000000, 587.000000
Particle 1060, at 57.000000, 454.000000
Particle 1061, at 49.000000, 617.000000
Particle 1062, at 724.000000, 189.000000
Particle 1063, at 464.000000, 785.000000
Particle 1064, at 763.000000, 244.000000
Particle 1065, at 425.000000, 241.000000
Particle 1066, at 220.000000, 406.000000
Particle 1067, at 368.000000, 325.000000
Particle 1068, at 143.000000, 899.000000
Particle 1069, at 620.000000, 310.000000
Particle 1070, at 341.000000, 6.000000
Particle 1071, at 656.000000, 614.000000
Particle 1072, at 464.000000, 706.000000
Particle 1073, at 733.000000, 492.000000
Particle 1074, at 86.000000, 289.000000
Particle 1075, at 696.000000, 810.000000
Particle 1076, at 782.000000, 103.000000
Particle 1077, at 427.000000, 866.000000
Particle 1078, at 562.000000, 129.000000
Particle 1079, at 644.000000, 337.000000
Particle 1080, at 236.000000, 209.000000
Particle 1081, at 564.000000, 380.000000
Particle 1082, at 143.000000, 697.000000
Particle 1083, at 323.000000, 136.000000
Particle 1084, at 164.000000, 64.000000
Particle 1085, at 208.000000, 945.000000
Particle 1086, at 106.000000, 521.000000
Particle 1087, at 721.000000, 363.000000
Particle 1088, at 256.000000, 908.000000
Particle 1089, at 49.000000, 792.000000
Particle 1090, at 291.000000, 445.000000
Particle 1091, at 316.000000, 19.000000
Particle 1092, at 700.000000, 380.000000
Particle 1093, at 685.000000, 735.000000
Particle 1094, at 722.000000, 527.000000
Particle 1095, at 15.000000, 887.000000
Particle 1096, at 354.000000, 192.000000
Particle 1097, at 658.000000, 481.000000
Particle 1098, at 442.000000, 409.000000
Particle 1099, at 615.000000, 884.000000
Particle 1100, at 629.000000, 647.000000
Particle 1101, at 463.000000, 157.000000
Particle 1102, at 178.000000, 204.000000
Particle 1103, at 794.000000, 801.000000
Particle 1104, at 603.000000, 486.000000
Particle 1105, at 171.000000, 887.000000
Particle 1106, at 184.000000, 588.000000
Particle 1107, at 791.000000, 269.000000
Particle 1108, at 578.000000, 967.000000
Particle 1109, at 735.000000, 952.000000
Particle 1110, at 233.000000, 275.000000
Particle 1111, at 552.000000, 550.000000
Particle 1112, at 361.000000, 552.000000
Particle 1113, at 539.000000, 822.000000
Particle 1114, at 134.000000, 313.000000
Particle 1115, at 580.000000, 382.000000
Particle 1116, at 162.000000, 829.000000
Particle 1117, at 688.000000, 305.000000
Particle 1118, at 77.000000, 654.000000
Particle 1119, at 78.000000, 458.000000
Particle 1120, at 139.000000, 906.000000
Particle 1121, at 307.000000, 567.000000
Particle 1122, at 510.000000, 364.000000
Particle 1123, at 515.000000, 323.000000
Particle 1124, at 772.000000, 399.000000
Particle 1125, at 631.000000, 195.000000
Particle 1126, at 128.000000, 89.000000
Particle 1127, at 570.000000, 486.000000
Particle 1128, at 702.000000, 195.000000
Particle 1129, at 525.000000, 435.000000
Particle 1130, at 274.000000, 524.000000
Particle 1131, at 760.000000, 785.000000
Particle 1132, at 173.000000, 155.000000
Particle 1133, at 279.000000, 718.000000
Particle 1134, at 103.000000, 720.000000
Particle 1135, at 675.000000, 21.000000
Particle 1136, at 365.000000, 71.000000
Particle 1137, at 490.000000, 542.000000
Particle 1138, at 240.000000, 226.000000
Particle 1139, at 217.000000, 129.000000
Particle 1140, at 192.000000, 481.000000
Particle 1141, at 580.000000, 252.000000
Particle 1142, at 207.000000, 879.000000
Particle 1143, at 87.000000, 41.000000
Particle 1144, at 524.000000, 645.000000
Particle 1145, at 486.000000, 898.000000
Particle 1146, at 299.000000, 960.000000
Particle 1147, at 744.000000, 219.000000
Particle 1148, at 296.000000, 893.000000
Particle 1149, at 452.000000, 291.000000
Particle 1150, at 698.000000, 926.000000
Particle 1151, at 596.000000, 451.000000
Particle 1152, at 687.000000, 988.000000
Particle 1153, at 145.000000, 927.000000
Particle 1154, at 472.000000, 715.000000
Particle 1155, at 452.000000, 550.000000
Particle 1156, at 69.000000, 81.000000
Particle 1157, at 414.000000, 832.000000
Particle 1158, at 596.000000, 49.000000
Particle 1159, at 190.000000, 4.000000
Particle 1160, at 487.000000, 969.000000
Particle 1161, at 408.000000, 758.000000
Particle 1162, at 463.000000, 193.000000
Particle 1163, at 72.000000, 934.000000
Particle 1164, at 558.000000, 470.000000
Particle 1165, at 754.000000, 148.000000
Particle 1166, at 412.000000, 988.000000
Particle 1167, at 135.000000, 100.000000
Particle 1168, at 418.000000, 757.000000
Particle 1169, at 350.000000, 655.000000
Particle 1170, at 571.000000, 306.000000
Particle 1171, at 211.000000, 786.000000
Particle 1172, at 422.000000, 297.000000
Particle 1173, at 398.000000, 209.000000
Particle 1174, at 657.000000, 681.000000
Particle 1175, at 86.000000, 396.000000
Particle 1176, at 151.000000, 186.000000
Particle 1177, at 33.000000, 656.000000
Particle 1178, at 686.000000, 172.000000
Particle 1179, at 401.000000, 640.000000
Particle 1180, at 650.000000, 754.000000
Particle 1181, at 501.000000, 644.000000
Particle 1182, at 608.000000, 392.000000
Particle 1183, at 114.000000, 761.000000
Particle 1184, at 630.000000, 26.000000
Particle 1185, at 759.000000, 993.000000
Particle 1186, at 245.000000, 736.000000
Particle 1187, at 351.000000, 270.000000
Particle 1188, at 297.000000, 916.000000
Particle 1189, at 128.000000, 109.000000
Particle 1190, at 214.000000, 57.000000
Particle 1191, at 114.000000, 911.000000
Particle 1192, at 492.000000, 694.000000
Particle 1193, at 508.000000, 492.000000
Particle 1194, at 711.000000, 786.000000
Particle 1195, at 171.000000, 13.000000
Particle 1196, at 429.000000, 576.000000
Particle 1197, at 750.000000, 455.000000
Particle 1198, at 680.000000, 405.000000
Particle 1199, at 681.000000, 323.000000
